No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy channel Lock-Out/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,DTMF Own ID,5TONE Own ID,Scan List 1,Scan List 2,Scan List 3,Scan List 4,Scan List 5,Scan List 6,Scan List 7,Scan List 8,Ranging,Through Mode,APRS Report,APRS Report Channel
1,TS1 - F1ZHW - 94,430.53750,439.93750,D-Digital,High,25K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,7,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - IdF,,,,,,,,On,Off,Off,1
2,TS2 - F1ZHW - 94,430.53750,439.93750,D-Digital,High,25K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,7,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - IdF,,,,,,,,On,Off,On,3
3,TS1 - F1ZGI - 92,430.57500,439.97500,D-Digital,High,25K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,7,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - Paris,,,,,,,,On,Off,Off,2
4,TS2 - F1ZGI - 92,430.57500,439.97500,D-Digital,High,25K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,7,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - Paris,,,,,,,,On,Off,On,2
5,OpenSpot TG9,438.57500,438.57500,D-Digital,Mid,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,9,2,MMDVM ALL TG,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,HotSpot,,,,,,,,Off,Off,On,1
6,Pi-Star TG9,434.07500,434.07500,D-Digital,Mid,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,9,2,MMDVM ALL TG,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,HotSpot,,,,,,,,Off,Off,On,1
7,RPT - TG9,430.47500,439.87500,D-Digital,Mid,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Different Color Code,Carrier,Off,1,1,1,Off,7,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,HotSpot,,,,,,,,Off,Off,Off,1
8,RPT - TG208,430.47500,439.87500,D-Digital,Mid,12.5K,Off,Off,208 - France,Group Call,208,Exemple1,Different Color Code,Carrier,Off,1,1,1,Off,7,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,HotSpot,,,,,,,,Off,Off,Off,1
10,TS1 - F5ZDO - 77,430.35000,439.75000,D-Digital,High,25K,Off,Off,208 - France,Group Call,208,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Rx Group FR TS1,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - Paris,,,,,,,,On,Off,Off,2
11,TS2 - F5ZDO - 77,430.35000,439.75000,D-Digital,High,25K,Off,Off,9 - Local,Group Call,9,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,DMR - Paris,,,,,,,,On,Off,Off,2
